alpha,beta,evapRate,minCost_in_km_gens_total,elapsedTime_in_ms
1.5,5.0,0.3,675.0026165148776,1389741

gen,minCost_in_km_per_gen
298,693.7600381329844
299,700.0390479743879
300,688.1294211766393
301,688.1805519277511
302,690.1565162068946
303,686.1562147949884
304,703.9243195066407
305,680.1153055158013
306,690.6831409551609
307,696.0249872946807
308,696.0124418607951
309,697.1890036321306
310,699.4095888901944
311,684.1016392686897
312,685.6114268623845
313,687.1272571954682
314,699.1223700037388
315,679.8827631958171
316,690.7116550807921
317,694.0684925717147
318,696.1656475585282
319,692.6353065800783
320,695.5188835546417
321,713.3756933839245
322,681.8316884960936
323,691.4345060937402
324,693.1449117052895
325,698.0921110006051
326,696.5153903419457
327,686.6798364766395
328,681.7125014938646
329,675.0026165148776
330,689.9316906869378
331,675.4296180516344
332,693.0839967719547
333,696.2308048864736
334,706.7673969966401
335,678.5740760495112
336,693.4640077461198
337,690.3249383093171
338,704.1227958471187
339,693.194833205804
340,685.0300387737734
341,695.6471974094287
342,698.0422709070546
343,703.0291546450541
344,701.9039058118019
345,678.2937260833398
346,697.0862507805766
347,699.6693258935077
348,695.1198257107676
349,697.4884396837301
350,702.2123512122446
351,694.5198719742732
352,690.8278475627166
353,690.547556969322
354,688.404214431673
355,697.722935916667
356,697.2220080651488
357,696.4290945286593
358,694.0231230891109
359,690.0931694037932
360,688.237731019514
361,684.8262934438276
362,678.4666309160506
363,676.0700039432612
364,695.8379196662272
365,692.6890755309236
366,692.2372174008863
367,693.6118466557239
368,692.8873967377795
369,690.3471485216984
370,691.9644400339382
371,701.8011194822608
372,694.3822443623098
373,699.9045809810493
374,686.0227587337647
375,690.9115415223721
376,692.8704438259979
377,692.3496617520835
378,691.3655286808398
379,693.3938520665578
380,695.1381094854117
381,695.5448847441291
382,695.098873457941
383,683.9191064021484
384,703.915482458136
385,704.10382333223
386,702.5382238611193
387,683.3053614073048
388,697.7010874567989
389,686.5354993060687
390,698.2688733056763
391,689.7492870524914
392,687.4058934755275
393,689.2260709212724
394,685.6039340800593
395,694.4024456375039
396,690.5795071279846
397,692.8972161674503
398,692.893931757847
399,695.5919635444068
400,699.5697091653894
401,690.0967281627871
402,679.8016245150857
403,685.8586007566506
404,689.1583849614573
405,702.8942757495473
406,685.9673195992573
407,685.8888522509121
408,695.8143183506683
409,676.2356959949092
410,685.2045863743989
411,681.4003498263168
412,684.6379516560658
413,689.5442106500607
414,691.5359358043283
415,696.2503275047311
416,694.1479673773379
417,697.5543289214653
418,688.6159653425042
419,693.6469065626318
420,678.6224581406107
421,700.3712863504472
422,695.3914835638674
423,685.6868283118414
424,700.9672280844568
425,694.1845729577598
426,692.1685601366233
427,698.5211873315403
428,682.4661851859018
429,692.6839919804798
430,700.3549579765186
431,702.566417942803
432,698.1853373356478
433,695.1349943481038
434,685.4296755238263
435,694.2288707502436
436,700.8195911704007
437,689.9025070492473
438,686.333965448378
439,700.5482642411305
440,699.5328084907139
441,698.52793868361
442,686.6295772675554
443,697.8531953090796
444,694.745006334524
445,689.5677486109698
446,687.6383283932639
447,701.0057765610604
448,694.8308160506318
449,692.9647492135229
450,681.9981060921157
451,687.271983894943
452,688.4823448409148
453,702.5472028383771
454,700.5032617239208
455,684.4469976752908
456,688.3542146557025
457,683.517271681389
458,700.3148020620325
459,684.1712403424624
460,697.0626500150687
461,700.6903158378675
462,700.1902004588605
463,690.1563118781563
464,696.3137182770722
465,694.3658765472514
466,702.905006713797
467,702.4206551703602
468,693.6177029664457
469,688.1393391103411
470,699.004849814409
471,696.7781957415978
472,702.9315520537701
473,686.4947809100137
474,688.6898071942494
475,681.8960956652217
476,696.712603905232
477,688.0225877120638
478,691.972019745061
479,695.013590680063
480,699.1074886044154
481,701.9111666162476
482,718.2171621904455
483,694.7038896445705
484,686.2227456630112
485,693.0602314549545
486,703.6487518238052
487,698.5234182192689
488,692.1259510007105
489,689.5532061689614
490,690.3326437884486
491,686.4744817148146
492,701.1693097309163
493,690.3613003233634
494,702.9452579431943
495,698.6001060105033
496,692.593585528577
497,697.5781248360347
498,688.1095326704125
499,698.3298120019875
500,688.7155949252968
